PIC_20190522_100025,274.0704,485.7099,273.0398,506.9676
PIC_20190522_100255,245.4419,486.7475,243.7241,510.2812
PIC_20190522_100349,174.1932,485.5984,172.1162,510.2253
PIC_20190522_100436,187.7867,486.6739,185.7722,510.3443
PIC_20190522_100905,188.9618,485.8345,187.1152,516.0521
PIC_20190522_101228,166.8023,485.4988,165.9629,509.5049
PIC_20190522_101317,144.9033,484.3397,143.6963,503.2485
PIC_20190522_101402,125.2250,485.9270,125.8809,509.3202
PIC_20190522_101644,30.3519,485.1441,30.1411,511.0750
PIC_20190522_102131,1848.2802,482.1635,1847.4798,506.3336
PIC_20190522_102222,1856.9238,482.9638,1857.5640,518.3386
PIC_20190522_102311,17.1795,484.4377,17.1795,519.3401
PIC_20190522_102455,33.1081,485.6089,32.4053,518.1689
PIC_20190522_102815,274.8929,489.8336,273.8778,540.3328
PIC_20190522_103100,241.6534,490.4234,239.1548,562.2584
PIC_20190522_103134,241.9657,490.4234,242.5904,560.3844
PIC_20190522_103418,275.0723,489.1741,274.4476,532.8997
PIC_20190522_103634,270.3255,488.2507,269.0411,515.9579
PIC_20190522_103807,201.3280,484.8065,199.3526,515.3364
PIC_20190522_103936,282.6645,486.4820,282.4576,531.1758
PIC_20190522_104016,326.6359,487.5427,323.8601,540.8996
PIC_20190522_104152,226.7219,486.4903,223.0989,576.6119
PIC_20190522_104638,223.9572,487.1227,223.1608,571.1462
PIC_20190522_104937,230.3287,484.7334,232.7180,542.4747
PIC_20190522_105227,231.5233,487.1227,233.5144,581.8980
PIC_20190522_105507,214.9996,490.7148,214.9996,642.8058
PIC_20190522_105631,193.1770,483.0751,190.7760,564.7093
PIC_20190522_105705,192.0979,481.7779,192.0979,542.2169
PIC_20190522_105801,186.8040,482.6602,187.2452,533.3937
PIC_20190522_105837,183.7159,482.2191,183.7159,524.5705
PIC_20190522_105914,192.4463,480.1207,191.9700,518.2245
PIC_20190522_105950,187.2071,480.8351,187.2071,513.6996
PIC_20190522_110030,179.1100,480.1207,179.1100,510.1274
PIC_20190522_110113,224.5964,479.6444,224.8345,509.8893
PIC_20190522_110359,213.4034,483.2166,212.4508,530.1319
PIC_20190522_110440,251.0022,482.7296,250.1004,537.7419
PIC_20190522_110702,192.1991,487.6815,189.1695,611.8935
PIC_20190522_110758,117.2174,486.1667,119.4896,586.8996
PIC_20190522_111106,43.7505,482.3797,44.5079,547.5153
PIC_20190522_111238,1915.4171,485.0340,1915.4171,577.3068
PIC_20190522_111337,7.4303,484.9022,8.1721,590.9759
PIC_20190522_111550,43.7772,486.3858,37.8431,591.7177
PIC_20190522_111715,1888.6262,482.2075,1886.5336,551.7859
PIC_20190522_111828,1865.6078,481.6844,1864.0384,525.6286
PIC_20190522_111950,1715.0161,480.8604,1713.6809,514.2403
PIC_20190522_112117,1769.6615,480.2219,1768.2951,522.3078
PIC_20190522_112543,1710.9027,483.7318,1712.5619,544.4597
PIC_20190522_112916,1680.3344,483.6576,1679.5692,551.7603
PIC_20190522_112958,1690.5482,482.8443,1691.8912,539.9219
PIC_20190522_113048,1712.7077,481.1656,1711.7004,529.1779
PIC_20190522_113304,1672.7534,480.8298,1672.4177,517.4266
PIC_20190522_114604,1705.3212,482.1728,1705.6569,525.4846
PIC_20190522_114753,1743.2610,481.8371,1743.2610,526.1561
PIC_20190522_114915,1821.7575,480.7428,1819.8523,524.5622
PIC_20190522_115043,1801.7530,480.0284,1801.2767,520.2755
PIC_20190522_115133,1839.8568,479.5521,1838.9042,515.0362
PIC_20190522_115217,1729.3071,478.6838,1729.6897,510.4396
PIC_20190522_115311,1732.1033,479.3497,1732.3337,514.3615
PIC_20190522_115351,1770.2452,478.6838,1769.4800,515.7960
PIC_20190522_115857,1798.5695,481.0753,1799.0692,520.0536
PIC_20190522_120138,491.5630,487.8678,490.6729,514.7200
PIC_20190522_120336,514.2613,487.7194,513.9646,516.3519
PIC_20190522_120401,544.5465,488.0564,544.7183,516.9153
PIC_20190522_120429,504.8655,489.0871,504.5220,513.9951
PIC_20190522_120508,523.5895,487.0258,522.5588,512.2773
PIC_20190522_120701,503.4948,491.1391,502.2260,540.1157
PIC_20190522_103508,223.1452,487.9808,221.8568,525.7723
PIC_20190522_110152,241.3967,480.2508,239.6789,513.1036
PIC_20190522_113142,1654.4508,481.1100,1654.6851,521.1658
PIC_20190522_112156,1817.5249,482.1635,1816.6816,527.9817
